u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,access,width,tunnel,service,bridge,junction,est_width,NO2_ugm3,NO_ugm3,CO2_mgm3,CO_mgm3,O3_ugm3,PM25_ugm3
389364,540403070,0,128005550,True,1,Parnell Square North,tertiary,30,False,115.51,,"LINESTRING (-6.2655305 53.3535789, -6.2652287 53.3536975, -6.2645212 53.3539756, -6.2640907 53.3541621)",,,,,,,,31.96033333333333,14.286,824.9466666666667,0.4316666666666666,40.34433333333333,5.984333333333333
389365,3260618602,0,151368,False,2,Parnell Square East,secondary,30,False,9.996,R132,"LINESTRING (-6.2635331 53.354535, -6.2634588 53.3544568)",,,,,,,,21.703,9.629,818.897,0.365,45.566,6.362
389365,20447279,0,14047787,False,2,Gardiner Row,tertiary,30,False,80.53,,"LINESTRING (-6.2635331 53.354535, -6.2634379 53.3545818, -6.2633446 53.3546301, -6.2628465 53.3549148, -6.2626435 53.3550272)",,,,,,,,17.1465,2.3424375,813.558,0.376,46.849,6.2415
389365,133459438,0,37692391,False,2,Frederick Street North,secondary,30,True,63.452,R132,"LINESTRING (-6.2635331 53.354535, -6.2635999 53.3545965, -6.2636602 53.3546521, -6.2640683 53.3550078)",,,,,,,,22.991333333333333,6.740333333333333,817.9486666666667,0.3943333333333333,41.934,7.199000000000001
389372,10204133784,0,4472602,False,2,Seville Place,secondary,50,False,48.867,R101,"LINESTRING (-6.2466832 53.3547073, -6.2465031 53.3545914, -6.2464119 53.3545248, -6.24621 53.354371)",,,,,,,,26.738,12.347666666666669,843.0106666666667,0.4676666666666667,41.91566666666667,8.214666666666666
389372,131031234,0,37866820,False,2,Portland Row,secondary,50,True,30.953000000000003,R101,"LINESTRING (-6.2466832 53.3547073, -6.2467775 53.3547774, -6.2468187 53.3548071, -6.246979 53.3549225)",,,,,,,,19.47,23.979,841.094,0.456,47.12,7.303
389372,581595904,0,130277328,True,4,North Strand Road,secondary,50,False,31.783,R105,"LINESTRING (-6.2466832 53.3547073, -6.2465501 53.3548233, -6.2464207 53.3549463)",,,,,,,,30.361,31.934,849.1349999999999,0.519,36.52,7.448
389372,131037926,0,354359921,False,4,Amiens Street,secondary,50,True,191.52,R105,"LINESTRING (-6.2466832 53.3547073, -6.2467659 53.3546294, -6.2474421 53.3539932, -6.2476425 53.3538045, -6.2477435 53.3537091, -6.2479425 53.3535212, -6.2480663 53.3534157, -6.2482417 53.3532579)",,,,,,,,37.45,32.155249999999995,867.7585,0.4955,33.22675,8.538
389379,1396443488,0,37865178,False,5,Amiens Street,secondary,50,True,55.67,R105,"LINESTRING (-6.2497586 53.351823, -6.2500665 53.3513573)",,,,,,,,50.1955,52.2025,847.4839999999999,0.435,27.5015,7.962
389379,2573198191,0,37865179,False,4,Amiens Street,secondary,50,False,7.448,R105,"LINESTRING (-6.2497586 53.351823, -6.2497187 53.3518856)",,,,,,,,48.075,37.128,855.857,0.504,24.92,8.829
389379,3677085143,0,"[162745568, 1070300806, 44705512, 44705513, 638750206]",False,2,Sheriff Street Lower,tertiary,30,True,187.57100000000003,,"LINESTRING (-6.2497586 53.351823, -6.2495339 53.351818, -6.2492141 53.351781, -6.2489158 53.3517603, -6.2483043 53.3517195, -6.2469529 53.3516294)",,,yes,,,,,30.77654222222222,35.04490757575757,842.2474833333332,0.4304866666666667,40.74147777777778,6.705202222222222
389607,9773888393,0,8075819,True,,Lincoln Lane,unclassified,30,False,4.228,,"LINESTRING (-6.2774435 53.3460737, -6.2774251 53.3461101)",,,,,,,,15.5195,5.099,834.265,0.4,48.13549999999999,6.9855
