u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,access,width,tunnel,service,bridge,junction,est_width
4309049102,4309049101,0,431678304,False,,,service,,True,15.586,,"LINESTRING (-6.2925091 53.331098, -6.2926457 53.3310522, -6.2927106 53.3310263)",,,,,,,
4309049108,32336044,0,431678305,False,,,service,,True,28.98,,"LINESTRING (-6.2922385 53.3314522, -6.2922193 53.3314827, -6.2921241 53.3316342, -6.2920851 53.3316962)",,,,,,,
4315710336,12117942,0,474590054,True,1,Brunswick Street North,tertiary,30,False,8.568,,"LINESTRING (-6.279585 53.3505567, -6.2794603 53.3505368)",,,,,,,
4315710336,104517937,0,636824322,False,2,Grangegorman Lower,tertiary,30,True,159.395,,"LINESTRING (-6.279585 53.3505567, -6.279615 53.3507655, -6.279645 53.3509742, -6.2796941 53.3513646, -6.2797368 53.3516801, -6.2797943 53.3519151, -6.2798322 53.3519802)",,,,,,,
4329853452,4329853453,0,"[435048856, 932435123]",False,,,service,,False,26.0,,"LINESTRING (-6.2412024 53.3324297, -6.2411645 53.3325644, -6.2411376 53.3326603)",,,,"['driveway', 'parking_aisle']",,,
4329853453,8643702171,0,370154357,False,2,Pembroke Road,secondary,50,True,13.778,R816,"LINESTRING (-6.2411376 53.3326603, -6.2409335 53.332638)",,,,,,,
4329853453,32335404,0,370154357,False,2,Pembroke Road,secondary,50,False,99.821,R816,"LINESTRING (-6.2411376 53.3326603, -6.2413325 53.3326796, -6.2420322 53.3327688, -6.2422714 53.3328213, -6.2425718 53.3329104)",,,,,,,
4329853453,4329853452,0,"[435048856, 932435123]",False,,,service,,True,26.0,,"LINESTRING (-6.2411376 53.3326603, -6.2411645 53.3325644, -6.2412024 53.3324297)",,,,"['driveway', 'parking_aisle']",,,
4339504894,4339504897,0,436067550,False,,,service,,False,62.062999999999995,,"LINESTRING (-6.2708722 53.3422485, -6.2714046 53.3420818, -6.2714489 53.3420316, -6.2714724 53.3418898)",,,,,,,
4339504897,1426048964,0,129211842,True,1,Ross Road,residential,30,False,94.047,,"LINESTRING (-6.2714724 53.3418898, -6.2700564 53.3418646)",,,,,,,
4339504897,4339504894,0,436067550,False,,,service,,True,62.062999999999995,,"LINESTRING (-6.2714724 53.3418898, -6.2714489 53.3420316, -6.2714046 53.3420818, -6.2708722 53.3422485)",,,,,,,
