start,end,distance_shortest_route,distance_green_route,pollutant_saving_p,extra_distance_p
POINT (-6.2851555704633055 53.34814206843604),POINT (-6.244834423983023 53.34253160590048),3151.0299999999997,3509.9259999999995,34.56126578740958,10.225172838401717
POINT (-6.2369289016481355 53.357720047906426),POINT (-6.236698518606968 53.33550944237489),3862.1620000000003,4125.257000000001,10.102526338770948,6.377663258313387
POINT (-6.270926881074165 53.350665610602846),POINT (-6.287993376212744 53.342345344243945),1914.9419999999998,1963.1109999999996,13.253049779684309,2.453707406254658
POINT (-6.243860191963257 53.34247340951047),POINT (-6.276340633081018 53.3415191969833),2664.0129999999995,3324.206,34.34830065208176,19.86017112056234
POINT (-6.232793937668442 53.34169232350011),POINT (-6.264384493580405 53.35592906144809),3555.908000000001,3749.743000000001,25.486839388888026,5.169287601843646
POINT (-6.303551791985481 53.35657972521835),POINT (-6.305398654030298 53.341810022375384),3024.3980000000006,4100.775999999999,23.66191598219885,26.24815400792432
POINT (-6.270448683951323 53.34887959342142),POINT (-6.23555443839948 53.341043542299936),3028.9829999999993,3327.6240000000003,31.497315952964193,8.974601697788001
POINT (-6.272117551623831 53.34059614062231),POINT (-6.233755000153672 53.33086023046495),3351.4709999999995,3898.1409999999987,41.00833857998925,14.023864195779458
POINT (-6.265940304504808 53.35255565089956),POINT (-6.289877127768557 53.35791018991225),2733.6450000000004,2800.4090000000006,8.184976219833347,2.384080325409614
POINT (-6.264925582876131 53.34490154127439),POINT (-6.301245158019652 53.341882829113764),3155.2949999999996,3300.1559999999995,15.833411419846227,4.389519768156411
POINT (-6.2799816110977185 53.35251773220405),POINT (-6.272276842047379 53.34005774771733),1971.5400000000004,2566.975,17.296418123043715,23.19597970373687
POINT (-6.301595932671195 53.33788542110744),POINT (-6.268894311345489 53.33030333719472),2772.321,3391.3400000000006,33.19843117232591,18.252932469171494
POINT (-6.2751112997806455 53.33596569551554),POINT (-6.282613161286001 53.34927249918809),2167.9220000000005,2342.274000000001,15.202617136627037,7.443706415218727
POINT (-6.263308831113597 53.3390433610311),POINT (-6.285620727168875 53.356407739794584),3777.495000000001,4074.642999999998,25.74612151473011,7.29261434682738
POINT (-6.274350247006203 53.334345212916965),POINT (-6.292410664597736 53.342296300854294),2248.024,2681.767,12.76580282210269,16.173776469022105
POINT (-6.274765942135643 53.34802200617807),POINT (-6.242686657391007 53.35177009028434),2791.940999999999,3030.417,19.82888515851721,7.869412031413532
POINT (-6.297920115549725 53.34685890462398),POINT (-6.265417526173998 53.34734375619249),2651.5819999999994,3234.9570000000003,1.974805933391983,18.033469996664586
POINT (-6.2809166409851045 53.331998755018084),POINT (-6.234200942219834 53.34046420863331),4090.8049999999994,4462.200999999999,38.7362141380834,8.323157114616752
POINT (-6.305716922361334 53.35212128405937),POINT (-6.262999109412692 53.359332730582494),3939.9129999999996,5159.429000000001,18.936013243139765,23.63664661341403
POINT (-6.248206959832149 53.3377378618667),POINT (-6.253177508612997 53.35362730477403),2477.7039999999997,2738.580999999999,31.50318846647352,9.52599174536008
POINT (-6.273707512390848 53.355494981035086),POINT (-6.253037224748444 53.35887457657391),2045.382,2057.318,0.26302625315347883,0.5801728269523792
POINT (-6.232754759204255 53.340347526886966),POINT (-6.271935622599341 53.3375352281933),3469.1720000000005,4199.972999999999,27.334279839213877,17.400135667538787
POINT (-6.245161089560338 53.33460039025483),POINT (-6.283802959223121 53.33255737365867),2775.2600000000007,3467.251,37.688189311770735,19.95791478609421
POINT (-6.271466491673848 53.34655513650521),POINT (-6.235001887204841 53.34871917108073),2736.917,3012.9550000000004,26.666851360663244,9.16170337758116
POINT (-6.25243058186084 53.35784514077499),POINT (-6.278244958257762 53.34057621665348),3302.5200000000004,3958.4979999999996,33.0173928444922,16.5713864197986
POINT (-6.254711849175424 53.34677292216785),POINT (-6.289320727486758 53.34206456620703),2711.578,2876.1589999999997,30.86979656809068,5.722249708726107
